barcode,product_name,brands,sugars_100g,fat_100g,fiber_100g,salt_100g,proteins_100g,energy_kcal_100g,quantity_grams,has_ingredients,nutrition_grades,sugar_pct_dv,sugar_tier,high_sugar_flag,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
3387390123210,NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic",19.9,4.4,7.7,0.2,8.5,384,375.0,True,b,39.8,high,1,,,0.7653846153846153
40897677,Hafer Flocken Zart,Crownfield,0.8,6.7,9.7,0,13.2,372.5,500.0,True,a,1.6,low,0,,,0.03076923076923077
20159917,CORN FLAKES,Crownfield,5.5,0.8,3.3,1.95,7.3,379,500.0,True,d,11.0,moderate,0,Aisle 4B,1034,0.21153846153846154
5000127142190,All-Bran Original,Kellogg's,18,3.5,27,0.95,14,333.5,750.0,True,c,36.0,high,1,Aisle 2B,595,0.6923076923076923
8480000156112,Avena crunchy,Hacendado,4.6,5.8,11,0.2,13,387,400.0,True,a,9.2,moderate,0,Endcap-South,142,0.1769230769230769
5057753158422,Bran Flakes Malty Crunch,Tesco,10.2,2.5,15.7,0.59,10.6,352,750.0,True,a,20.4,high,1,Endcap-South,867,0.3923076923076923
5018357012411,Simply Delicious Muesli,Dorset Cereals,14.7,7.3,9,0.03,9.6,368,650.0,True,b,29.4,high,1, Aisle 3C,1075,0.5653846153846154
5018357012534,Simply Fruity muesli,Dorset cereals,20,2.88888888888889,7.33333333333333,0.0444444444444444,8.66666666666667,348.888888888889,630.0,True,b,40.0,high,1,Aisle 2B,987,0.7692307692307693
5000127062092,Bran Flakes,Kellogg's,14,2.2,17,0.66,11,366.666666666667,750.0,True,b,28.000000000000004,high,1,Aisle 2B,659,0.5384615384615385
7613287514325,Fitness Nature Céréales complètes,Nestlé,8.3,1.5,8.5,0.56,9.8,368,475.0,True,a,16.6,moderate,0,Endcap-South,652,0.31923076923076926
3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,13,11,13,0.24,11,420,500.0,True,b,26.0,high,1, Aisle 3C,1130,0.5
